,class,tweet
0,0,jama 2013 duloxetine: no difference initially but demonstrated with crossover. decrease was only 0.73 on a 10 point pain scale #asco
1,1,this week i officially stopped taking my quetiapine. i'm happy to be able to have a life again and not sleep 12 hours.
2,1,it appears that my twitter addiction may have just been a side effect of my nicotine lozenge addiction.
3,1,"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro."
7,0,@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac. i red 'pizza' not prozac
8,1,i shouldn't tweet on vyvanse it's going to be extremely negative lol
9,1,cymbalta tore up our stress incontinence agreement first!  it?s like niagara falls when i cough.
11,0,@prozac omfg no he is gorgeous i look like a whale hes so cute omg
12,0,i just got a lozenge. voice hasnt' recovered from wednesday. it's gonna be that kind of night.
13,1,@joanne__howe enbrel is a miracle but it made my eyes worse :( so couldn't have it anymore :(
14,1,"coming up this week: seroquel is notorious for two things - making you sleep until next tuesday, and leaving you a hangover.  lovely."
16,1,"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro."
20,1,"when cute boys send you home with free drugs you say thank you, then stay up all night feeling like you have to poop. #vyvanse #daytimesleep"
22,1,does fluoxetine (anti-depressant) make you gain weight? id rather be sad then be fat :c
23,1,@obsidianvormund @glass1ncision sorry for jumping in. trying to get up for work after night seroquel is a nightmare!
24,1,"side affects of this withdrawal contains confusion, deliriousness, nauesousness and insomnia #withdrawal #trazodone #omgicantwait #help"
30,0,"if you or a loved one has experienced severe side effects from the use of fosamax, contact us toll free. 1.888.520.5202. habla espanol."
31,1,rt @ho0driiich: i hate how vyvanse makes me over think everything and it makes me angry about things that i shouldn't even be angry about
33,1,"not feeling like staying up all night, so taking the #levothyroxin in the morning. #lamotrigine early at 0432utc"
34,0,?@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.? @elizabethjeanb
35,0,can you stop pacing up and down on the train and get some zyprexa you psycho
36,1,"@doctormcpa  had my doctor attempted to treat with bactrim prior to cipro, i wouldn't be crippled today."
37,0,"i ain't even feel it yet tho, just barely took it.. already ate a bit, and drinking a calcium-enriched smoothie lolol #vyvanse"
38,1,"olanzapine together. olanzapine is causing me to gain weight because i binge eat on it, normally in the evening. also sick of the joint pain"
41,1,"@xyle50ul my cousin has bipolar she is on seroquel, her feet are always going &amp; she twirls her hair constantly is that a side effect of them"
43,1,@southkirk @positiveaboutms thinking it might be the baclofen doing it.only on a low dose though.broken sleep is a nightmare.#msfatigue
44,1,rt @vyvansethoughts: @the_ignorable hungover shakes  vyvanse shakes  coffee = recipe for success
45,0,"@paxilparox ""paxil"" is right up there with ""joey"" and ""daniel."""
46,1,08.55 day 21 rivaroxaban diary strange muscle spasms especially in neck shoulders and legs. no more fluid retention. more mobile.
49,1,"04.46 day 23 rivaroxaban diary. much better than yesterday. still neck, back, hip, and leg aches but not so intense."
53,0,only 12 more days until i will be able to stop taking pradaxa which will remove the risk of bleeding out allowing me to resume working.
54,0,dad walks in on me cutting open my vyvanse pill pours himself some wine and walks out
55,1,@integratemd i sure wish my doctor had told me cipro could disable me for life!  there was never any mention of that.  now i'm crippled.
57,1,"@deltrimental effexor i found was not so bad. currently on cymbalta &amp;the wdrawals are vile. internet full of horror stories,"
58,1,my 3 favourite things about fluoxetine are: it doesnt work as an antidepressant. increases suicidal thoughts. it stops you from jizzing.
60,1,"i seem to need to sleep right now. quetiapine takers, is this normal?"
61,1,@brokenmind_ quetiapine was horrific for me in relation to wait gain. such a horror story. but the weight will come off one day at a time.
63,1,"@friardanny i appreciate it. i gained over 30lbs with paxil so i'm trying something different, tired of the appetite side effects."
65,1,"@authoredkurtz oh, it sucks, but try doing snri withdrawal. they had to put me on a whole other drug just to get me off effexor. :("
66,1,"@pseudodeviant i clock in at 16 stone (added 1 stone since quetiapine) and according to that bmi thing i'm obese, which i'm clearly not."
67,0,so i'm watching side effects &amp; the old shrink is telling the new shrink what girl used to take &amp; says effexor. i'm like hey i take that lmao
68,0,rt @royalwjohnson: generic drugs as effective as amgen's enbrel for arthritis: a blockbuster drug made by amgen is no more effect... http:/?
69,0,trampeze showed that zoledronic acid and strontium-89 had no significant effect on clinical progression free survival. #asco
70,1,@stinkings @evilbadgerette trazodone was evil. turned you all flat :(
71,1,"rules of prozac: 1: you can never sleep, ever again. never ever 2: no you may not switch your brain off. ever. 3: exhaustion is your friend."
74,1,"@indiescent @serarrist when i weaned myself off paxil, slower than recommended, my blood pressure dropped so bad i couldn?t walk for a week."
76,0,"i'd very much like to down a bottle of seroquel right now, but really, what good would that do for me? none. absolutely none"
77,1,this vyvanse got me sweating right now and i dont even know why
78,0,"put a lozenge in my mouth to stop me coughing at like 5am, woke up just now and a bit was still there #choke"
79,1,oh man! i've been a total quetiapine zombie all morning! i've been taking them for years but every now  then they really mess me up!
80,0,@jenuine9 @clrfldcdaughtry @mrsg37 @thatsmekc @maria423 @rhodygrl86 i had been treating it w/ floxin ear drops myself but time to see doctor
81,1,#schizophrenia #seroquel #sideeffects uncontrollable tremors in hands and legs. body would rock all the time. restlessness. desperation.
86,1,prozac makes me want to destroy myself. js. #core
87,1,allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/sqdtqpucgn
88,1,@skernandez because i realized vyvanse after a certain time of taking it increased my anxiety and made me more irrational.
90,0,@emmaw_13 i take duloxetine for mine :-)
91,1,?@r_kohler1: this 40 hours of no sleeping really sucks #vyvanse? was just going to tweet this
92,1,"@notquitereal yeah, i mean, fluoxetine made me feel like shit, and citalopram makes me feel ace, so worth considering if you ever have to"
93,1,"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol"
104,1,doc for panic disorders: alprazolam (addictive) and paroxetine (sedating). #psychiatry
106,0,happy for wellbutrin; has similar effects as adderall.. trazodone is super promising for sleep.. but abilify can cause weight gain -_-
107,0,?@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.? goodbye happy pills...
108,1,i took my trazodone like an hour ago and i can barely keep my eyes open and i need to finish homeworrrkkk
109,1,"have run out of olanzapine, was tapering off anyway but this is a bit too quick-feel restless. hot bath and diazepam time :("
110,1,get asked if i have tourettes. nope. just vyvanse #twitchy @vyvanseswag
112,1,"day has been a right off. missed opticians&amp;slept aw day. sitting here torn faced, wi greasy hair&amp;unwashed. swollen feet thx to olanzapine."
115,0,call jose zometa 202-617-4985 for special orders
116,1,seroquel left me with sleep paralysis. abilify left me with occasional muscle spasms. i've been off of both for nearly a decade.
120,0,@vyvanseswag i was never addicted to coffee until #vyvanse lolz
121,1,"i need to progress onto oxazepam.apparently it's more sedating. seroquel is sedating, but you can hardly open or close your mouth."
122,0,hyped up on vyvanse for this math exam lets gooo
123,1,@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own
126,1,"nb: not psychotic ;) seroquel used off-label for ptsd. ctl?d many sympts, helped sleep. but side fx - weight gain - caused terrible pain."
128,1,@mtv when are you going to do true life: i am addicted to vyvanse?
