,type,tweet
679,1,vyvanse makes my brain crazier than it already is.
2233,0,just took my zyprexa and lithium. hahaha. and this cigar is going great with my mocha.
1801,0,rivaroxaban diary day 22 then add 1 drug at a time at weekly intervals. surely easiest way to lower bp is to lose weight.
79,1,"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion"
451,1,just woke up from a 14 hour nap thank u fluoxetine
1826,1,i ain't trying to take this seroquel yet. i'm not ready to be sedated and completely unconscious till tomorrow.
507,1,"olanzapine together. olanzapine is causing me to gain weight because i binge eat on it, normally in the evening. also sick of the joint pain"
23,0,thank god for vyvanse or i would be sleepping on the cash register right now
2097,1,vyvanse makes you mad *example a*
1284,0,please put a straight pencil line through the lozenge' #lozenge #catstests #germanguy #bussy @jed_hoyle @kirstyhanson3
1018,0,@fashonbutterfly i have a friend on that with lupus and she is doing well. everybody is different though. maybe you shud try enbrel.
1782,1,02.50 day 15 rivaroxaban diary. neck ache and lower back pain. had to kneel on floor to get out of bed.
179,0,"have decided to skip my #humira shot today. my body's having hysterics, need time to simmer down #rheum"
1661,0,@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.
1492,0,#health #tip: an antidepressant (paroxetine) is now us-fda approved as the first non-hormonal drug for treating hot flushes of the menopause
1422,0,oh my god why does ciprofloxacin take soooo long to infuse like come on i want to go out.
1124,1,whyyyyy so painful #humira ?
699,1,@pk_money i took a vyvanse and drank a 12oz redbull this morning. my heart was hurting a lil bit haha
222,1,i better go to bed.. effexor withdrawal makes me feel kinda terrible ugh.
1416,0,"cyclophosphamide""@naijamedics: ? rt @peteagida: ""@naijamedics: the drug known for causing hemorrhagic cystitis is? #medquiz""ciprofloxacin"""
438,1,"@catthoma right, some ssris are used for cataplexy, as is effexor. can be tricky to wean off without rebound.  #nchat"
152,0,@chiarthritis triple drug comparable to mtx + etanercept except on radiographic progression. hence too early to conclude. #rheum #eular2013
1286,0,although i think he needs a throat lozenge.
1629,0,@mocoddle we should just add prozac to the water supply. problem solved!
0,0,@seefisch:oral drugs for pyelonephritis:ciprofloxacin levofloxacin tmp/smz do not use nitrofurantoin for pyelo(only cystitis)@david_medinaf
1004,0,@anorexic0 @ewdustin -generic drugs as effective as amgen's enbrel for arthritis- @fiinging -: a blockbuster drug made b...  @jesusislana
700,1,"young nigga just gave me a 70mg vyvanse, these things can twerk me out thank goodness for my script of xanax"
761,1,"@remiamaka it wasn't an easy victory though. felt like chemo with the cipro. as for the heart, i meant for study purposes."
1522,1,"fuck paxil. i never want to take this shit again, but every time i try i get ridiculously sick. my life suckssss."
710,1,why is my brain so retarded when my vyvanse wears off?
547,1,@tete_floue been thailand so many time it's lovely but always seem to have bad dreams every since i been on quetiapine x
2140,1,results of accidentally taking 100 mg of vyvanse last night: i took it at 11:00am and was wide awake until 3:30 this morning..
447,1,don't need any alcohol really when fluoxetine just makes me feel like i can't even stand
188,1,"@indiescent @serarrist when i weaned myself off paxil, slower than recommended, my blood pressure dropped so bad i couldn?t walk for a week."
1454,1,@azlemed first two weeks of olanzapine v drowsy. weight gain was an issue. great for my anxiety though.
245,1,@criminalbanjo dude i feel physically and mentally drained.. thats the paxil i wanted hard at work
1351,0,"my heart is like a cigar. breathe me in, can you smell the nicotine on my skin? my heart is on fire and you my love, you are my lighter"
492,0,i just got a lozenge. voice hasnt' recovered from wednesday. it's gonna be that kind of night.
1038,1,the one bummer about it all is that the fluoxetine is giving me the shakes which made fine fiddly detail work harder than it should be
1009,0,@anorexic0 @ewdustin -generic drugs as effective as amgen's enbrel for arthritis- @fiinging -: a blockbuster drug made b...  @jesusislana
635,1,does trazodone actually make people feel like high omfg it makes me sleepy
2049,1,"so anyway last night.. my new medication (venlafaxine/effexor) made me feel the most depressed ever, and i overreacted about everything"
1397,0,"don't panic guys, i'll be ok once i've had coffee, nicotine, and injected last night's left over smack."
945,1,"stomach discomfort, flushed, sweating, weird jaw, this stuff sucks #effexor #experiment"
1635,0,?@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac.? @katelynolsen_xx
1034,1,fluoxetine is a hell of a drug if you're into being awake all night and feeling ill.
2161,1,my emails to big pharm were answered! turns out there is a pill that makes you stop spending all of your income in food and it's #vyvanse
2041,1,#twothingsthatdontmixwell venlafaxine and alcohol- you'll cry and throw chairs at your mom's bbq.
949,1,so so so shaky. me and effexor xr have a love/hate relationship.
1258,0,"@jortwine i had a patient ""allergic to all antibiotics expect levaquin &amp; cleomycin (sic)"""
1029,0,"rt @andrewfbourgoin: if interested in the sandoz #etanercept phase 3 study, you should know about this, too. #biosimilars #pharma #patent  ?"
2135,1,shouldn't have taken 80mg of vyvanse today... #cantsleep
2087,1,took a vyvanse for the first time in a month feelin weird.
1460,1,"day has been a right off. missed opticians&amp;slept aw day. sitting here torn faced, wi greasy hair&amp;unwashed. swollen feet thx to olanzapine."
645,0,@jenchang1 i think patients who take tysabri generally want to know if they could be at risk for pml.
450,1,@bobsmithno6 i've found that it's okay to stop dead with prozac but not fluoxetine - i got terrible paraesthesia; it felt as though i was
1346,0,burning down the nicotine armoire
366,0,"why am i still awake oh shit, cause i left my trazodone in woonsocket, that's why. two vicoprofen later and i'm still hyped"
467,1,scared of my #humira. keep feeling like i'm having a heart attack or panic attack. anyone else have these problems? #crohns #ra #help
563,1,"hello, world! quetiapine zombie this morning and i have a work call in about 45 minutes. perfect combination."
206,1,@lotsospermies well i?m taking it with a mood stabilizer (lamictal). i can?t take anti-depressants by themselves-triggers my rapid cycling
505,1,evening dose of lithium and olanzapine really knocks me out. in bed at 10.30pm on a friday night. rock and roll...#mylife
1970,0,"i'm taking six of my trazodone pills and i swear to god if i dont go to sleep tonight, i'm going to take the whole bottle."
25,0,"@wenbellings prescription, i have zoplicone, nice and gentle but work. i have zometa to keep the bones strong and control the tumours"
1296,1,"popped a zinc lozenge, i'm sweatin"
1690,0,@aerobicsfirst ok.....no problem.  i did think running shoes and snorting prozac were at the opposite end of the relationship spectrum.
1818,1,this seroquel got me sleepy
1596,1,what to do? not looking forward to cold turkey withdrawals from pristiq... sense of impending doom. anxiety only makes the situation worse.
1232,1,i've decided i'm really not happy with the pain lamotrigine is causing or the poor sleep. i am thinking of asking for a trial of prozac and
1241,1,allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/kbj5fvqpff
2100,1,"@back_datashup same lol didn't eat a thing, damn vyvanse"
184,1,seroquel left me with sleep paralysis. abilify left me with occasional muscle spasms. i've been off of both for nearly a decade.
1295,0,@lauracopeland_ get to bed now missy. no drunk lozenge
227,1,"@sewyoursoul i 'served' 6months of fluoxetine-time around 18 years ago, it put a smile on my face but inside i was still screaming. :("
476,1,it turns out that i can still ride a bike in spite of my ataxia (side effect of lamotrigine) it has been at least 25 years.
1256,1,@sonniedetore i cannot be in the sun! #levaquin
1198,1,"@thekillmars300 called lamictal (for anxiety) that turns out i'm allergic to also. kicker is, they both can cause sjs. i never had a chance."
1197,1,@ybnormal622 i am on only 25mg lamictal but it makes me anxious and insomniac so i skip sometimes and get depressed.
430,1,crying randomly at nothing and everything. sigh. thank you #effexor #withdrawls can you just exit my system already.
211,1,your humira shot burns with the power of a thousand suns #ibdfmlmoments #crohns #ibd #uc
2181,1,"rt @vyvanseswag: vyvanse, commonly known as ocd in a pill."
841,1,ok i've got a med ? anyone ever tried cymbalta?? my doc put me on it but i slept 10 hrs straight!!
1739,0,rt @ardenbarry: today's journal club: quetiapine reduces icu delirium in small db rct. important as little/no other evidence exits: http://?
1761,1,oh man! i've been a total quetiapine zombie all morning! i've been taking them for years but every now  then they really mess me up!
2091,1,ready for bed but vyvanse is saying no #forciblynocturnal
237,1,this seroquel got me lo0o0py as helll.  this status took me at least thirty minutes to type i keep waking up without knowing i feel asleep
292,1,"@helsthorn i dont get it, sex i mean. the doctors p[ut me on venlafaxin"
883,1,hate that i've been off #cymbalta for ages now and my appetite is still terrible. the worst part? i can't bear meat or chocolate :'(
313,1,"worked a double shift today while dealing with effexor withdrawals, i'm a tough bitch; fight me. #badass #sick #withdraws #sicksicksick"
367,1,"@r00shoes ""eh whatever"" was me for years on paxil cr, years 14-18. better than ""everything sucks i wanna die"" but i still had days like that"
494,1,a big ol' fuck you to my doctor for not telling me a side effect of metoprolol was depression. just wait until i see you friday -.-
842,0,"depression hurts, cymbalta can help."
2104,1,"?@kendallmarieem: i'm sleepless, you've got me wide awake? my song to vyvanse and mdma"
1951,0,"ah, the sunday night sleep...my worst enemy. do work trazodone #zzzzzzz"
1501,1,@ripnercabbit @pacerfox ugh. my partner was on paxil for a while. it made him hide in the apartment. :/
1758,1,@lynseypattie @ukschizophrenic @polarbear3127 @weswroten its quetiapine for me. i was wearing factor 30 today &amp; i still burnt :-(
544,1,my increase of quetiapine is making me so tired #sleepy
1431,0,*snorting a line of olanzapine face*
