tweet_id	begin	end	type	extraction	drug	tweet	meddra_code	meddra_term																																													
331187619096588288					ofloxacin	@seefisch:oral drugs for pyelonephritis:ciprofloxacin levofloxacin tmp/smz do not use nitrofurantoin for pyelo(only cystitis)@david_medinaf																																															
332227554956161024					trazodone	happy for wellbutrin; has similar effects as adderall.. trazodone is super promising for sleep.. but abilify can cause weight gain -_-																																															
332448217490944000					lamotrigine	"@stilgarg i'm ok ty have an official diagnosis of bipolar now, feeling ok at the moment lamotrigine has been increased having monotherapy:/"																																															
332977955754110976					cymbalta	i'm soo depressed cymbalta couldn't help me .																																															
333674203331051520					seroquel	"time for my daily afternoon relaxation ritual of smoking weed, taking 2 mgs of clonazepam, and 400 mg of seroquel xr."																																															
333948685811589120					levaquin	questionable x-ray result.  nothing a little levaquin won't help.  oh yeah and the cough meds with codeine.																																															
339780292304830464					nicotine	does nicotine gum actually help with quitting smoking..?																																															
339789866739048448					norfloxacin	"third night of diarrhea and first dose of norfloxacin, gosh.. gonna die of dehydration"																																															
339888459072303104					effexor	prescribed wellbutrin and got an okay to get off effexor as fast as possible. to be on the look out for symptoms of mania.. in case #bipolar																																															
339898418682019840					nicotine	nicotine is so stress relieving.																																															
340314658189766656					prozac	104.) this is a pic of me during my depression... spikey dread curls... heavy metal... prozac. bass guitar http://t.co/dompmwdvbt																																															
340331832467922944					nicotine	"gotta thank the lord for the weed and the nicotine, i can't sleep close my eyes and see wicked things"																																															
340336517597782016					seroquel	"if you can't sleep in a high stress job, the latest best thing, under the care of a qualified physician, is low dose quetiapine (seroquel)."																																															
340378547141099520					cymbalta	fibro question: who has been on the drug merry-go round? (vicodin to lyrica to elavil to lunesta to cymbalta to lexipro on and on.)																																															
340486266237894657					ofloxacin	"oh yay. ciprofloxacin just in time for the weekend. i thank you vietnam &amp; egypt. alcohol, see you in 7 days. #sick"																																															
340723164759859200					trazodone	i stopped taking my trazodone so bring on another sleepless night																																															
340732143997165568					lozenge	hopefully benadryl is on my side tonight and i can get some sleep. got a lozenge and dayquil and water on standby.																																															
341151063681925120					geodon	@1pcornwell it sucks being bipolar.  i am taking geodon.  it seems to work most of the time.  i'm new to this.  was ptsd.  now bipolar too.																																															
341358561064005633					prozac	i exited out of my brother's bloons game and now he has fallen into a deep pit of depression. i hope mom doesn't make me pay for his prozac																																															
341430949596233728					seroquel	"@xrodd seroquel, an anti-psychotic, usually for schiz people but i'm on a small dose."																																															
341549235650584577					cipro	@jawalkerauthor that is scary! if you do get it the antibiotic cipro will cure it!! #keepingfingerscrossed																																															
341642275274752000					humira	@pueblokc how's your crohn's?  i'm back on remicade and pentasa after failing at humira and cimzia																																															
341659929721057281					lozenge	dis lady has the worst cough i wish i had a lozenge																																															
341698955974955010					vyvanse	thank god for vyvanse or i would be sleepping on the cash register right now																																															
342112103412416514					cipro	"@tobiaspeggs ha!  try not to do that.  water, sleep, cipro, and the occasional xanax can cure all travel related illnesses.  #beprepared"																																															
342183812765208576					zometa	"@wenbellings prescription, i have zoplicone, nice and gentle but work. i have zometa to keep the bones strong and control the tumours"																																															
342284279851675648					vyvanse	iti needs to quit hiring teachers that have already retired from one job to take this one... imma overdose on vyvanse trying to stay awake																																															
342314998904786945	42	53	ADR	lost vision	cymbalta	"#cymbalta withdrawal has reached a peak, lost vision and almost crashed my car from a brain zap. thanks a zillion #elililly #bigpharma"	10047522	vision loss																																													
342314998904786945	11	21	ADR	withdrawal	cymbalta	"#cymbalta withdrawal has reached a peak, lost vision and almost crashed my car from a brain zap. thanks a zillion #elililly #bigpharma"	10048010	withdrawal syndrome																																													
342322703556038657	27	35	ADR	nauseous	cipro	i hate cipro! #antibiotic #nauseous #cf #hospitallife #cysticfibrosis	10028823	nauseous																																													
342349802601844737	109	118	ADR	can't cum	seroquel	@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own	10021574	inability to orgasm																																													
342349802601844737	101	104	ADR	fat	seroquel	@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own	10047896	weight gain																																													
342349802601844737	71	84	ADR	gainin weight	seroquel	@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own	10047896	weight gain																																													
